[Header]
TITLE,28-03-2025_RuCl3_TB001_0T _001_110-180K
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
7863336.16,,5905,,157.589,0.316,9.1E-6,157.40081,3.6283472,76.451754,0.2791,4305.0482,3.151,16467.743,24.77,0.56463346,116.6506,0.3111909,98.616467,373.84717,3.782,1,,,,0.00014225483,243.32176,24775.015,0.48571386,0
7864183.11,,5905,,157.583,0.316,9.1E-6,157.46181,3.5745176,76.558715,0.448,4308.7992,3.153,16488.511,60.96,30.154151,117.24834,0.64562941,97.138688,372.95158,6.019,1,,,,0.00014290193,233.3012,24794.223,0.48620496,0
7865031.91,,5905,,157.589,0.316,9E-6,157.4883,3.6798132,76.902182,0.2637,4310.1511,3.153,16544.505,19.63,17.280365,121.35573,0.28366101,98.785212,369.66697,3.494,1,,,,0.00013724957,234.49668,24802.565,0.48830409,0
7866092.95,,5905,,158.968,0.316,9E-6,158.75166,3.5816128,79.740608,0.4138,4362.1376,3.18,17048.056,53.44,14.804411,116.67196,0.16666241,99.249134,344.35476,5.874,1,,,,0.00014673256,242.71146,25202.09,0.50229778,0
7866940.08,,5905,,158.967,0.316,9.1E-6,158.91752,3.6763116,76.739599,0.2403,4370.1744,3.184,16578.663,9.624,1.9668151,116.63762,0.16321175,99.278681,374.6217,2.894,1,,,,0.00014269903,233.34393,25254.78,0.48288947,0
7867785.02,,5905,,158.963,0.316,9.1E-6,158.89474,3.7111175,77.21829,0.2481,4370.0061,3.184,16654.649,13.12,6.1139778,120.7219,0.21859517,99.063606,369.85206,3.137,1,,,,0.0001386696,233.27523,25247.538,0.48597134,0
7868843.39,,5905,,160.308,0.316,9.1E-6,160.21056,3.7114543,78.240738,0.2765,4425.4618,3.21,16872.766,22.63,3.0224107,121.00379,0.27006535,98.845267,362.69457,3.828,1,,,,0.0001403285,241.4438,25667.423,0.48836193,0
7869965.73,,5905,,160.308,0.316,9.1E-6,160.34423,3.8085376,77.865126,0.2541,4431.2471,3.212,16818.795,15.02,0.41283831,120.05205,0.2199331,99.05514,366.76561,3.324,1,,,,0.00014082213,242.00758,25710.273,0.48561226,0
7870968.36,,5905,,160.355,0.316,9.1E-6,160.35287,3.7890615,77.655478,0.2544,4431.3746,3.212,16785.57,15.36,0.044528762,118.52924,0.17925914,99.22112,368.88328,3.333,1,,,,0.00014221854,240.10411,25713.041,0.4842787,0
7872015.27,,5905,,161.75,0.316,9.1E-6,161.59634,3.6991679,77.998946,0.2444,4483.7106,3.235,16892.548,9.881,2.4154794,117.70727,0.18713499,99.184041,368.27804,3.03,1,,,,0.0001441513,237.05848,26113.376,0.48267769,0
