[Header]
TITLE,28-03-2025_RuCl3_TB001_0T _001_300-3K
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
7609073.98,,5905,,92.1709,0.316,9.1E-6,91.776218,2.123227,51.387847,0.1623,1594.5806,1.354,9769.8637,7.301,0.21793781,115.74297,0.054837362,99.65261,359.78437,1.228,1,,,,8.4616131E-5,232.67942,8422.8743,0.55992553,0
7610465.19,,5905,,90.0602,0.316,9E-6,89.603317,2.0768572,50.291884,0.1625,1518.3357,1.304,9519.262,8.949,0.072293277,114.88927,0.055321532,99.640282,357.81166,1.256,1,,,,8.3067388E-5,231.48595,8028.7545,0.56127256,0
7611299.38,,5905,,90.037,0.316,9.1E-6,89.641597,2.0769278,50.235632,0.1579,1519.7402,1.305,9511.7176,6.699,2.9732374,115.07599,0.057352975,99.628179,358.3029,1.172,1,,,,8.2873855E-5,229.77853,8035.6159,0.56040537,0
7612134.31,,5905,,90.0569,0.316,9.2E-6,89.64735,2.0767965,50.20693,0.1591,1519.8796,1.305,9507.2906,7.378,0.17197246,114.29156,0.048122666,99.686095,358.49865,1.197,1,,,,8.33695E-5,230.15199,8036.6473,0.56004923,0
7613288.33,,5905,,87.9995,0.316,9.1E-6,87.561831,2.0198742,48.988132,0.1603,1447.8202,1.258,9241.3329,9.61,0.046542616,111.58,0.03389838,99.769836,357.3789,1.249,1,,,,8.2958415E-5,228.58313,7667.0742,0.55946902,0
7614098.31,,5905,,87.9929,0.316,9.1E-6,87.564795,2.0152243,49.11427,0.1554,1448.2656,1.258,9261.8458,7.117,7.1730211,114.52945,0.061603815,99.591546,356.6386,1.156,1,,,,8.1104858E-5,223.16,7667.5933,0.5608906,0
7614930.2,,5905,,87.9929,0.316,9.1E-6,87.594342,2.0446411,49.071249,0.1555,1449.1581,1.259,9255.8939,7.236,0.27145452,113.66556,0.051544998,99.656091,357.01551,1.16,1,,,,8.1630943E-5,229.05891,7672.7688,0.56021026,0
7616081.72,,5905,,85.9805,0.316,9.1E-6,85.549794,1.985821,47.857144,0.1574,1379.6685,1.213,8993.2526,9.743,0.042540135,110.54376,0.032598343,99.772721,355.81207,1.223,1,,,,8.1487549E-5,227.33112,7318.7672,0.55940688,0
7616887.95,,5905,,85.9771,0.316,9.1E-6,85.552586,1.9780437,47.875375,0.1508,1380.0785,1.213,8996.563,6.571,2.1680114,112.9538,0.054117447,99.630486,355.71576,1.105,1,,,,7.9859994E-5,221.08751,7319.245,0.55960173,0
7617709.16,,5905,,85.9805,0.316,9.1E-6,85.577865,2.001149,47.904698,0.1516,1380.8547,1.214,9002.0043,6.927,0.50545513,112.52866,0.049258886,99.662425,355.64729,1.119,1,,,,8.0191736E-5,225.90759,7323.5711,0.55977907,0
