,Time,Temperature(K),Field(Oe),Field(T),Long Moment(emu),Long err,Susceptibility(m^3/mol),err
8330,3948971008.11,11.2363204956055,99.7660293579102,0.00997660293579102,3.39800059473473e-06,2.22068357234208e-07,1.401204544104124e-08,9.163039653258845e-10
8331,3948971009.0855,11.2388515472412,99.7750358581543,0.00997750358581543,3.64024432543378e-06,1.90613554477895e-07,1.5009610255988532e-08,7.86720672940489e-10
8332,3948971010.0615,11.2425026893616,99.7750358581543,0.00997750358581543,3.73343303805452e-06,2.21357929527993e-07,1.5393849920046784e-08,9.134142529585749e-10
8333,3948971011.055,11.2468590736389,99.7840423583984,0.009978404235839839,3.25635424799057e-06,2.31358061699186e-07,1.3425526461862621e-08,9.543701508164998e-10
8334,3948971012.063,11.2500877380371,99.8110618591309,0.00998110618591309,3.30344698870871e-06,1.82296223785448e-07,1.3615996790906575e-08,7.520471709252283e-10
8335,3948971013.053,11.2534556388855,99.820068359375,0.0099820068359375,3.42748372003327e-06,1.9854735520402e-07,1.4125971056169659e-08,8.189487293254954e-10
8336,3948971014.0345,11.2566452026367,99.8020553588867,0.009980205535888671,3.10829467232574e-06,1.82386047470963e-07,1.2812783061820666e-08,7.524085648745878e-10
8337,3948971015.0295,11.2596702575684,99.7840423583984,0.009978404235839839,3.46163823328845e-06,2.01913747185979e-07,1.4271885723455248e-08,8.331255969203869e-10
8338,3948971016.042,11.2629404067993,99.8020553588867,0.009980205535888671,3.30392331633075e-06,2.41269761336382e-07,1.3619189030543972e-08,9.95048614807824e-10
8339,3948971017.0605,11.2662663459778,99.8020553588867,0.009980205535888671,3.62676440498571e-06,2.38625699287481e-07,1.4949980756697444e-08,9.842595020701472e-10
8340,3948971018.043,11.2695322036743,99.7750358581543,0.00997750358581543,3.39175195419741e-06,2.23998466727522e-07,1.398501594022104e-08,9.241724606570342e-10
8341,3948971019.059,11.273099899292,99.7930488586426,0.00997930488586426,3.31928714346019e-06,1.94416019851398e-07,1.3683755537494655e-08,8.021112171369616e-10
8342,3948971020.089,11.2765116691589,99.8110618591309,0.00998110618591309,3.15200866639115e-06,1.82562743333637e-07,1.2991805236525922e-08,7.530850915832952e-10
8343,3948971021.06,11.2799139022827,99.8020553588867,0.009980205535888671,3.66221997076772e-06,2.35668813687771e-07,1.5096133075119396e-08,9.720907640269997e-10
8344,3948971022.038,11.283383846283,99.7840423583984,0.009978404235839839,3.3213557956875e-06,2.72793201516151e-07,1.3693519417237694e-08,1.1251417667802517e-09
8345,3948971023.0355,11.2866721153259,99.7480201721191,0.00997480201721191,3.77166517895182e-06,1.74950599813189e-07,1.555570226483517e-08,7.224654202778341e-10
8346,3948971024.0595,11.2898859977722,99.7660331726074,0.009976603317260739,3.47136186906205e-06,1.92832339709081e-07,1.4314558528068408e-08,7.958627854818353e-10
8347,3948971025.0835,11.2936358451843,99.7840423583984,0.009978404235839839,3.19378136037266e-06,2.05642051894702e-07,1.3167546557180015e-08,8.483883512618698e-10
8348,3948971026.0695,11.2982869148254,99.757022857666,0.0099757022857666,3.24720658405521e-06,1.79797354314731e-07,1.3391437959800277e-08,7.42135689703564e-10
8349,3948971027.066,11.3013429641724,99.757022857666,0.0099757022857666,3.29770396622468e-06,2.02505362277116e-07,1.3599688510835526e-08,8.357281570505425e-10
8350,3948971028.063,11.3044018745422,99.7660293579102,0.00997660293579102,3.34286198770305e-06,1.72285676411077e-07,1.3784675066686162e-08,7.11162659543013e-10
8351,3948971029.042,11.3074922561646,99.7840423583984,0.009978404235839839,3.60138817558356e-06,1.96558262309825e-07,1.4848056620551147e-08,8.111195702689007e-10
8352,3948971030.054,11.3108320236206,99.7750358581543,0.00997750358581543,3.18751091090095e-06,2.28034320888817e-07,1.3142880582234856e-08,9.40737473729052e-10
8353,3948971031.0575,11.3140835762024,99.7660293579102,0.00997660293579102,3.21645502294862e-06,2.27736800399312e-07,1.32634214397893e-08,9.39605259634443e-10
8354,3948971032.048,11.3173956871033,99.7660293579102,0.00997660293579102,3.21684734835968e-06,2.27764655490338e-07,1.326503923864901e-08,9.397201848990753e-10
8355,3948971033.0835,11.3205790519714,99.7750358581543,0.00997750358581543,3.46967357773744e-06,2.59791459931962e-07,1.4306305693130784e-08,1.0716997575835805e-09
8356,3948971034.0685,11.3235769271851,99.7750358581543,0.00997750358581543,3.2887159945096e-06,1.39324210790695e-07,1.356017368816108e-08,5.75332423469715e-10
8357,3948971035.0585,11.3268704414368,99.757022857666,0.0099757022857666,3.14154004982857e-06,2.06799810303276e-07,1.2955670539128189e-08,8.533717903669062e-10
8358,3948971036.083,11.330436706543,99.7480201721191,0.00997480201721191,3.47459610901708e-06,1.79490691292564e-07,1.4330482690790009e-08,7.410338819514947e-10
8359,3948971037.088,11.3340411186218,99.7029914855957,0.009970299148559571,3.37793034014702e-06,1.97426087543176e-07,1.3938090323882666e-08,8.152684867423961e-10
8360,3948971038.0755,11.3376212120056,99.6759719848633,0.00996759719848633,3.37771795161311e-06,1.9741365365248e-07,1.39409919690825e-08,8.154381249360906e-10
8361,3948971039.068,11.3410787582397,99.7210006713867,0.00997210006713867,3.40441683574621e-06,1.82897425288103e-07,1.4044842586877187e-08,7.552456934448383e-10
8362,3948971040.088,11.3441743850708,99.8020553588867,0.009980205535888671,2.95025004659945e-06,2.03194099980841e-07,1.2161303161428073e-08,8.380690836999288e-10
8363,3948971041.0615,11.3474106788635,99.8020553588867,0.009980205535888671,3.2814570482672e-06,2.10447254388931e-07,1.3526580237217567e-08,8.680603183006674e-10
8364,3948971042.0285,11.350793838501,99.7750358581543,0.00997750358581543,3.41149231655814e-06,2.06849742428783e-07,1.4066410242047534e-08,8.535187707221983e-10
8365,3948971043.035,11.3540062904358,99.8020553588867,0.009980205535888671,3.25690928880032e-06,2.07231373176028e-07,1.3425391273538153e-08,8.548042644552792e-10
8366,3948971044.061,11.3573651313782,99.7840423583984,0.009978404235839839,3.0498205471941e-06,2.09263442784319e-07,1.2574014785262792e-08,8.632614573106394e-10
8367,3948971045.057,11.3607983589172,99.7930488586426,0.00997930488586426,3.47499513345982e-06,2.38176116025692e-07,1.4325661458345024e-08,9.824456680137354e-10
8368,3948971046.038,11.3641891479492,99.8470840454102,0.00998470840454102,3.15475360624539e-06,1.85945394095142e-07,1.2998428022753817e-08,7.667408427698881e-10
8369,3948971047.0475,11.367495059967,99.8020515441895,0.009980205154418949,3.16979523348809e-06,1.91543144914781e-07,1.3066296638811731e-08,7.901495625381428e-10
8370,3948971048.06,11.3709654808044,99.7480163574219,0.00997480163574219,3.33955385325618e-06,2.01305756309544e-07,1.3773520437405459e-08,8.308749540251926e-10
8371,3948971049.0555,11.3744893074036,99.757022857666,0.0099757022857666,3.32475970764828e-06,1.84242055048952e-07,1.3711266038581871e-08,7.604806443781158e-10
8372,3948971050.031,11.3780827522278,99.7840423583984,0.009978404235839839,3.14613537554611e-06,1.98241612360699e-07,1.2971108337817032e-08,8.178809449219081e-10
8373,3948971051.027,11.3815679550171,99.7750358581543,0.00997750358581543,3.22663930811296e-06,2.18795827565224e-07,1.3304216454113124e-08,9.026786668267712e-10
