Capacitance(pF),Loss (nSiemens),Timestamp (24hr)
1.114265,0.000258,16:32:32
1.114258,0.000258,16:32:33
1.114252,0.000251,16:32:34
1.114247,0.000264,16:32:35
1.114243,0.000258,16:32:36
1.114234,0.000258,16:32:37
1.114229,0.000251,16:32:38
1.114222,0.000258,16:32:39
1.114216,0.000258,16:32:40
1.11421,0.000258,16:32:41
1.114203,0.000251,16:32:42
1.114197,0.000264,16:32:43
1.114191,0.000251,16:32:44
1.114184,0.000258,16:32:45
1.114179,0.000258,16:32:46
1.114173,0.000264,16:32:46
1.114166,0.000258,16:32:47
1.11416,0.000264,16:32:48
1.114154,0.000258,16:32:49
1.114149,0.000251,16:32:50
1.114143,0.000258,16:32:51
1.114136,0.000258,16:32:52
1.114131,0.000258,16:32:53
1.114124,0.000258,16:32:54
1.11412,0.000251,16:32:55
1.114112,0.000251,16:32:56
1.114107,0.000251,16:32:57
1.1141,0.000251,16:32:58
1.114094,0.000251,16:32:59
1.114088,0.000251,16:33:00
1.114083,0.000251,16:33:01
1.114076,0.000258,16:33:02
1.114071,0.000251,16:33:03
1.114065,0.000251,16:33:03
1.114059,0.000258,16:33:04
1.114052,0.000251,16:33:05
1.114046,0.000251,16:33:06
1.11404,0.000264,16:33:07
1.114035,0.000258,16:33:08
1.114028,0.000258,16:33:09
1.114022,0.000258,16:33:10
1.114015,0.000251,16:33:11
1.11401,0.000258,16:33:12
1.114004,0.000251,16:33:13
1.113998,0.000258,16:33:14
1.113993,0.000258,16:33:15
1.113986,0.000258,16:33:16
1.11398,0.000251,16:33:17
1.113974,0.000251,16:33:18
1.113969,0.000251,16:33:19
1.113963,0.000258,16:33:20
1.113957,0.000258,16:33:21
1.113951,0.000258,16:33:21
1.113945,0.000258,16:33:22
1.11394,0.000251,16:33:23
1.113933,0.000258,16:33:24
1.113926,0.000258,16:33:25
1.113922,0.000258,16:33:26
1.113915,0.000251,16:33:27
1.113909,0.000264,16:33:28
1.113903,0.000251,16:33:29
1.113897,0.000258,16:33:30
1.113891,0.00027,16:33:31
1.113886,0.000258,16:33:32
1.113879,0.000258,16:33:33
1.113875,0.000258,16:33:34
1.113867,0.000258,16:33:35
1.113862,0.000251,16:33:36
1.113857,0.000251,16:33:37
1.113851,0.000264,16:33:38
1.113845,0.000251,16:33:38
1.113839,0.000258,16:33:39
1.113832,0.000258,16:33:40
1.113827,0.000258,16:33:41
1.113821,0.000251,16:33:42
1.113816,0.000258,16:33:43
1.113809,0.000251,16:33:44
1.113804,0.000258,16:33:45
1.113797,0.000258,16:33:46
1.113792,0.000251,16:33:47
1.113786,0.000258,16:33:48
1.113781,0.000251,16:33:49
1.113775,0.000251,16:33:50
1.113771,0.000251,16:33:51
1.113763,0.000251,16:33:52
1.113757,0.000251,16:33:53
1.113752,0.000258,16:33:54
1.113747,0.000258,16:33:55
1.113742,0.000251,16:33:56
1.113735,0.000251,16:33:56
1.11373,0.000251,16:33:57
1.113724,0.000251,16:33:58
1.113719,0.000251,16:33:59
1.113713,0.000251,16:34:00
1.113707,0.000258,16:34:01
1.113702,0.000251,16:34:02
1.113697,0.000258,16:34:03
1.11369,0.000251,16:34:04
1.113685,0.000258,16:34:05
1.113679,0.000258,16:34:06
1.113674,0.000245,16:34:07
1.113669,0.000258,16:34:08
1.113663,0.000258,16:34:09
1.113657,0.000251,16:34:10
1.113652,0.000251,16:34:11
1.113646,0.000251,16:34:12
1.113641,0.000258,16:34:12
1.113636,0.000258,16:34:13
1.11363,0.000258,16:34:14
1.113625,0.000251,16:34:15
1.113619,0.000251,16:34:16
1.113613,0.000251,16:34:17
1.113594,0.000276,16:34:18
1.113603,0.000258,16:34:19
1.113597,0.000251,16:34:20
1.113593,0.000251,16:34:21
1.113587,0.000258,16:34:22
1.113581,0.000251,16:34:23
1.113576,0.000258,16:34:24
1.113572,0.000258,16:34:25
1.113565,0.000245,16:34:26
1.113561,0.000251,16:34:27
1.113555,0.000258,16:34:28
1.11355,0.000251,16:34:28
1.113545,0.000258,16:34:29
1.113538,0.000251,16:34:30
1.113533,0.000258,16:34:31
1.113529,0.000251,16:34:32
1.113524,0.000258,16:34:33
1.113519,0.000251,16:34:34
1.113512,0.000245,16:34:35
1.113507,0.000245,16:34:36
1.113502,0.000251,16:34:37
1.113498,0.000258,16:34:38
1.113493,0.000251,16:34:39
1.113486,0.000251,16:34:40
1.113482,0.000251,16:34:41
1.113476,0.000251,16:34:42
1.113471,0.000245,16:34:43
1.113466,0.000258,16:34:44
1.11346,0.000251,16:34:45
1.113455,0.000251,16:34:45
1.113451,0.000251,16:34:46
1.113445,0.000251,16:34:47
1.11344,0.000258,16:34:48
1.113435,0.000251,16:34:49
1.113429,0.000245,16:34:50
1.113425,0.000258,16:34:51
1.113418,0.000258,16:34:52
1.113413,0.000251,16:34:53
1.113409,0.000258,16:34:54
1.113402,0.000251,16:34:55
1.113399,0.000258,16:34:56
1.113393,0.000251,16:34:57
1.113389,0.000258,16:34:58
1.113382,0.000251,16:34:59
1.113378,0.000258,16:35:00
1.113373,0.000258,16:35:01
1.113368,0.000258,16:35:02
1.113364,0.000258,16:35:02
1.113358,0.000251,16:35:03
1.113353,0.000258,16:35:04
1.113348,0.000258,16:35:05
1.113344,0.000251,16:35:06
1.113338,0.000251,16:35:07
1.113333,0.000251,16:35:08
1.113328,0.000251,16:35:09
1.113323,0.000251,16:35:10
1.113319,0.000245,16:35:11
1.113314,0.000258,16:35:12
1.113307,0.000258,16:35:13
1.113285,0.000251,16:35:14
1.11328,0.000245,16:35:15
1.113276,0.000258,16:35:16
1.113271,0.000251,16:35:17
1.113266,0.000251,16:35:18
1.11326,0.000258,16:35:19
1.113257,0.000258,16:35:20
1.113251,0.000251,16:35:20
1.113246,0.000251,16:35:21
1.113242,0.000251,16:35:22
1.113237,0.000251,16:35:23
1.113233,0.000251,16:35:24
1.113228,0.000258,16:35:25
1.113222,0.000258,16:35:26
1.113219,0.000251,16:35:27
1.113212,0.000251,16:35:28
1.113209,0.000251,16:35:29
1.113204,0.000251,16:35:30
1.113198,0.000245,16:35:31
1.113195,0.000251,16:35:32
1.11319,0.000258,16:35:33
1.113185,0.000251,16:35:34
1.113179,0.000245,16:35:35
1.113175,0.000245,16:35:36
1.11317,0.000258,16:35:37
1.113165,0.000251,16:35:38
1.11316,0.000258,16:35:38
1.113157,0.000251,16:35:39
1.113152,0.000245,16:35:40
1.113148,0.000251,16:35:41
1.113143,0.000245,16:35:42
1.113137,0.000245,16:35:43
1.113132,0.000251,16:35:44
1.113129,0.000258,16:35:45
1.113124,0.000258,16:35:46
1.113119,0.000251,16:35:47
1.113115,0.000251,16:35:48
1.11311,0.000245,16:35:49
1.113106,0.000251,16:35:50
1.113102,0.000251,16:35:51
1.113096,0.000251,16:35:52
1.113092,0.000258,16:35:53
1.113088,0.000251,16:35:54
1.113083,0.000251,16:35:54
1.113078,0.000245,16:35:55
1.113073,0.000245,16:35:56
1.11307,0.000245,16:35:57
1.113064,0.000251,16:35:58
1.11306,0.000245,16:35:59
1.113055,0.000245,16:36:00
1.113051,0.000251,16:36:01
1.113046,0.000251,16:36:02
1.113042,0.000251,16:36:03
1.113038,0.000245,16:36:04
1.113033,0.000251,16:36:05
1.113028,0.000258,16:36:06
1.113023,0.000251,16:36:07
1.11302,0.000251,16:36:08
1.113016,0.000245,16:36:09
1.11301,0.000251,16:36:10
1.113005,0.000258,16:36:11
1.113001,0.000251,16:36:11
1.112996,0.000251,16:36:12
1.112992,0.000258,16:36:13
1.112987,0.000258,16:36:14
1.112982,0.000245,16:36:15
1.112979,0.000258,16:36:16
1.112975,0.000251,16:36:17
1.11297,0.000251,16:36:18
1.112965,0.000251,16:36:19
1.112962,0.000258,16:36:20
1.112957,0.000251,16:36:21
1.112953,0.000251,16:36:22
1.112948,0.000258,16:36:23
1.112943,0.000251,16:36:24
1.112939,0.000258,16:36:25
1.112935,0.000251,16:36:26
1.112931,0.000251,16:36:27
1.112926,0.000258,16:36:28
1.112922,0.000251,16:36:28
1.112917,0.000251,16:36:29
1.112912,0.000251,16:36:30
1.112909,0.000251,16:36:31
1.112904,0.000251,16:36:32
1.112901,0.000251,16:36:33
1.112894,0.000251,16:36:34
1.11289,0.000251,16:36:35
1.112886,0.000258,16:36:36
1.112882,0.000245,16:36:37
1.112878,0.000251,16:36:38
1.112874,0.000245,16:36:39
1.112869,0.000251,16:36:40
1.112864,0.000245,16:36:41
1.112861,0.000245,16:36:42
1.112856,0.000251,16:36:43
1.112852,0.000258,16:36:44
1.112847,0.000245,16:36:44
1.112843,0.000258,16:36:45
1.112838,0.000251,16:36:46
1.112835,0.000251,16:36:47
1.112831,0.000258,16:36:48
1.112826,0.000251,16:36:49
1.112822,0.000251,16:36:50
1.112817,0.000251,16:36:51
1.112813,0.000251,16:36:52
1.112809,0.000264,16:36:53
1.112804,0.000251,16:36:54
1.1128,0.000258,16:36:55
1.112797,0.000258,16:36:56
1.112792,0.000258,16:36:57
1.112789,0.000251,16:36:58
1.112783,0.000251,16:36:59
1.11278,0.000258,16:37:00
1.112776,0.000245,16:37:01
1.112771,0.000258,16:37:01
1.112766,0.000245,16:37:02
1.112763,0.000251,16:37:03
1.112759,0.000245,16:37:04
1.112754,0.000251,16:37:05
1.112751,0.000251,16:37:06
1.112746,0.000245,16:37:07
1.112742,0.000258,16:37:08
1.112737,0.000245,16:37:09
